Week,Month,Year,Google_Search_Trend_Topic_DeepLearning
26/01/2020,1,2020,14
2/02/2020,2,2020,
9/02/2020,2,2020,16
16/02/2020,2,2020,16
23/02/2020,2,2020,16
1/03/2020,3,2020,15
8/03/2020,3,2020,14
15/03/2020,3,2020,12
22/03/2020,3,2020,12
29/03/2020,3,2020,13
5/04/2020,4,2020,13
12/04/2020,4,2020,14
19/04/2020,4,2020,15
26/04/2020,4,2020,15
3/05/2020,5,2020,15
10/05/2020,5,2020,15
17/05/2020,5,2020,15
24/05/2020,5,2020,15
31/05/2020,5,2020,14
7/06/2020,6,2020,15
14/06/2020,6,2020,15
21/06/2020,6,2020,14
28/06/2020,6,2020,14
5/07/2020,7,2020,14
12/07/2020,7,2020,15
19/07/2020,7,2020,14
26/07/2020,7,2020,14
2/08/2020,8,2020,13
9/08/2020,8,2020,13
16/08/2020,8,2020,14
23/08/2020,8,2020,14
30/08/2020,8,2020,14
6/09/2020,9,2020,14
13/09/2020,9,2020,14
